wort,kategorie,genus,artikel,plural,englisch,basisform,praeteritum,partizip_ii,hinweis
Haus,Substantiv,n,das,Häuser,house,,,,
Auto,Substantiv,n,das,Autos,car,,,,
Stadt,Substantiv,f,die,Städte,city,,,,
Dorf,Substantiv,n,das,Dörfer,village,,,,
Schule,Substantiv,f,die,Schulen,school,,,,
Universität,Substantiv,f,die,Universitäten,university,,,,
Garten,Substantiv,m,der,Gärten,garden,,,,
Hund,Substantiv,m,der,Hunde,dog,,,,
Katze,Substantiv,f,die,Katzen,cat,,,,
Vogel,Substantiv,m,der,Vögel,bird,,,,
Fisch,Substantiv,m,der,Fische,fish,,,,
Kind,Substantiv,n,das,Kinder,child,,,,
Mann,Substantiv,m,der,Männer,man,,,,
Frau,Substantiv,f,die,Frauen,woman,,,,
Lehrer,Substantiv,m,der,Lehrer,teacher,,,,
Lehrerin,Substantiv,f,die,Lehrerinnen,teacher (f),,,,
Arzt,Substantiv,m,der,Ärzte,doctor,,,,
Ärztin,Substantiv,f,die,Ärztinnen,doctor (f),,,,
Krankenhaus,Substantiv,n,das,Krankenhäuser,hospital,,,,
Apotheke,Substantiv,f,die,Apotheken,pharmacy,,,,
Laden,Substantiv,m,der,Läden,shop,,,,
Supermarkt,Substantiv,m,der,Supermärkte,supermarket,,,,
Bäckerei,Substantiv,f,die,Bäckereien,bakery,,,,
Bank,Substantiv,f,die,Banken,bank,,,,
Geld,Substantiv,n,das,,money,,,,
Euro,Substantiv,m,der,Euro,euro,,,,
Zug,Substantiv,m,der,Züge,train,,,,
Bus,Substantiv,m,der,Busse,bus,,,,
Bahn,Substantiv,f,die,Bahnen,railway,,,,
Fahrrad,Substantiv,n,das,Fahrräder,bicycle,,,,
Flugzeug,Substantiv,n,das,Flugzeuge,airplane,,,,
Schiff,Substantiv,n,das,Schiffe,ship,,,,
Computer,Substantiv,m,der,Computer,computer,,,,
Telefon,Substantiv,n,das,Telefone,telephone,,,,
Handy,Substantiv,n,das,Handys,mobile phone,,,,
Uhr,Substantiv,f,die,Uhren,clock,,,,
Fenster,Substantiv,n,das,Fenster,window,,,,
Tür,Substantiv,f,die,Türen,door,,,,
Wand,Substantiv,f,die,Wände,wall,,,,
Decke,Substantiv,f,die,Decken,ceiling/blanket,,,,
Boden,Substantiv,m,der,Böden,floor/ground,,,,
Dach,Substantiv,n,das,Dächer,roof,,,,
Küche,Substantiv,f,die,Küchen,kitchen,,,,
Bad,Substantiv,n,das,Bäder,bathroom,,,,
Schlafzimmer,Substantiv,n,das,Schlafzimmer,bedroom,,,,
Wohnzimmer,Substantiv,n,das,Wohnzimmer,living room,,,,
Büro,Substantiv,n,das,Büros,office,,,,
Firma,Substantiv,f,die,Firmen,company,,,,
Arbeit,Substantiv,f,die,Arbeiten,work,,,,
Chef,Substantiv,m,der,Chefs,boss,,,,
Kollege,Substantiv,m,der,Kollegen,colleague,,,,
Kollegin,Substantiv,f,die,Kolleginnen,colleague (f),,,,
Urlaub,Substantiv,m,der,Urlaube,vacation,,,,
Reise,Substantiv,f,die,Reisen,trip,,,,
Hotel,Substantiv,n,das,Hotels,hotel,,,,
Zimmer,Substantiv,n,das,Zimmer,room,,,,
Bett,Substantiv,n,das,Betten,bed,,,,
Lampe,Substantiv,f,die,Lampen,lamp,,,,
Licht,Substantiv,n,das,Lichter,light,,,,
Strom,Substantiv,m,der,,electricity,,,,
Wasser,Substantiv,n,das,,water,,,,
Feuer,Substantiv,n,das,,fire,,,,
Luft,Substantiv,f,die,,air,,,,
Erde,Substantiv,f,die,,earth/soil,,,,
Himmel,Substantiv,m,der,,sky/heaven,,,,
Sonne,Substantiv,f,die,Sonnen,sun,,,,
Mond,Substantiv,m,der,Monde,moon,,,,
Stern,Substantiv,m,der,Sterne,star,,,,
Wetter,Substantiv,n,das,,weather,,,,
Regen,Substantiv,m,der,,rain,,,,
Schnee,Substantiv,m,der,,snow,,,,
Wind,Substantiv,m,der,,wind,,,,
Wolke,Substantiv,f,die,Wolken,cloud,,,,
Nebel,Substantiv,m,der,,fog,,,,
Sturm,Substantiv,m,der,Stürme,storm,,,,
Donner,Substantiv,m,der,,thunder,,,,
Blitz,Substantiv,m,der,Blitze,lightning,,,,
Frühling,Substantiv,m,der,Frühlinge,spring,,,,
Sommer,Substantiv,m,der,Sommer,summer,,,,
Herbst,Substantiv,m,der,Herbste,autumn,,,,
Winter,Substantiv,m,der,Winter,winter,,,,
Woche,Substantiv,f,die,Wochen,week,,,,
Monat,Substantiv,m,der,Monate,month,,,,
Jahr,Substantiv,n,das,Jahre,year,,,,
Tag,Substantiv,m,der,Tage,day,,,,
Stunde,Substantiv,f,die,Stunden,hour,,,,
Minute,Substantiv,f,die,Minuten,minute,,,,
Sekunde,Substantiv,f,die,Sekunden,second,,,,
Frühstück,Substantiv,n,das,Frühstücke,breakfast,,,,
Mittagessen,Substantiv,n,das,,lunch,,,,
Abendessen,Substantiv,n,das,,dinner,,,,
Brot,Substantiv,n,das,Brote,bread,,,,
Brötchen,Substantiv,n,das,Brötchen,roll,,,,
Kuchen,Substantiv,m,der,Kuchen,cake,,,,
Kaffee,Substantiv,m,der,,coffee,,,,
Tee,Substantiv,m,der,,tea,,,,
Bier,Substantiv,n,das,,beer,,,,
Wein,Substantiv,m,der,Weine,wine,,,,
Saft,Substantiv,m,der,Säfte,juice,,,,
Milch,Substantiv,f,die,,milk,,,,
Käse,Substantiv,m,der,,cheese,,,,
Wurst,Substantiv,f,die,Würste,sausage,,,,
Obst,Substantiv,n,das,,fruit,,,,
Gemüse,Substantiv,n,das,,vegetables,,,,
Apfel,Substantiv,m,der,Äpfel,apple,,,,
Birne,Substantiv,f,die,Birnen,pear,,,,
Banane,Substantiv,f,die,Bananen,banana,,,,
Orange,Substantiv,f,die,Orangen,orange,,,,
Zitrone,Substantiv,f,die,Zitronen,lemon,,,,
Traube,Substantiv,f,die,Trauben,grape,,,,
Tomate,Substantiv,f,die,Tomaten,tomato,,,,
Gurke,Substantiv,f,die,Gurken,cucumber,,,,
Kartoffel,Substantiv,f,die,Kartoffeln,potato,,,,
Karotte,Substantiv,f,die,Karotten,carrot,,,,
Salat,Substantiv,m,der,Salate,salad,,,,
Reis,Substantiv,m,der,,rice,,,,
Nudeln,Substantiv,pl,,Nudeln,pasta,,,,
Suppe,Substantiv,f,die,Suppen,soup,,,,
Salz,Substantiv,n,das,,salt,,,,
Pfeffer,Substantiv,m,der,,pepper,,,,
Zucker,Substantiv,m,der,,sugar,,,,
Öl,Substantiv,n,das,Öle,oil,,,,
Butter,Substantiv,f,die,,butter,,,,
Ei,Substantiv,n,das,Eier,egg,,,,
Fleisch,Substantiv,n,das,,meat,,,,
HausTür,Substantiv,f,die,HausTüren,,,,,Zusammensetzung aus 'Haus' + 'Tür'
HausDach,Substantiv,n,das,HausDächer,,,,,Zusammensetzung aus 'Haus' + 'Dach'
HausWand,Substantiv,f,die,HausWände,,,,,Zusammensetzung aus 'Haus' + 'Wand'
HausFenster,Substantiv,n,das,HausFenster,,,,,Zusammensetzung aus 'Haus' + 'Fenster'
HausBoden,Substantiv,m,der,HausBöden,,,,,Zusammensetzung aus 'Haus' + 'Boden'
HausPlan,Substantiv,m,der,HausPläne,,,,,Zusammensetzung aus 'Haus' + 'Plan'
HausListe,Substantiv,f,die,HausListen,,,,,Zusammensetzung aus 'Haus' + 'Liste'
HausBuch,Substantiv,n,das,HausBücher,,,,,Zusammensetzung aus 'Haus' + 'Buch'
HausSeite,Substantiv,f,die,HausSeiten,,,,,Zusammensetzung aus 'Haus' + 'Seite'
HausNummer,Substantiv,f,die,HausNummern,,,,,Zusammensetzung aus 'Haus' + 'Nummer'
HausFehler,Substantiv,m,der,HausFehler,,,,,Zusammensetzung aus 'Haus' + 'Fehler'
HausServer,Substantiv,m,der,HausServer,,,,,Zusammensetzung aus 'Haus' + 'Server'
HausClient,Substantiv,m,der,HausClients,,,,,Zusammensetzung aus 'Haus' + 'Client'
HausVertrag,Substantiv,m,der,HausVerträge,,,,,Zusammensetzung aus 'Haus' + 'Vertrag'
HausGesetz,Substantiv,n,das,HausGesetze,,,,,Zusammensetzung aus 'Haus' + 'Gesetz'
HausPrüfung,Substantiv,f,die,HausPrüfungen,,,,,Zusammensetzung aus 'Haus' + 'Prüfung'
HausReise,Substantiv,f,die,HausReisen,,,,,Zusammensetzung aus 'Haus' + 'Reise'
HausHafen,Substantiv,m,der,HausHäfen,,,,,Zusammensetzung aus 'Haus' + 'Hafen'
HausBahnhof,Substantiv,m,der,HausBahnhöfe,,,,,Zusammensetzung aus 'Haus' + 'Bahnhof'
HausFlughafen,Substantiv,m,der,HausFlughäfen,,,,,Zusammensetzung aus 'Haus' + 'Flughafen'
HausKarte,Substantiv,f,die,HausKarten,,,,,Zusammensetzung aus 'Haus' + 'Karte'
HausPreis,Substantiv,m,der,HausPreise,,,,,Zusammensetzung aus 'Haus' + 'Preis'
HausPark,Substantiv,m,der,HausParks,,,,,Zusammensetzung aus 'Haus' + 'Park'
HausPlatz,Substantiv,m,der,HausPlätze,,,,,Zusammensetzung aus 'Haus' + 'Platz'
HausStraße,Substantiv,f,die,HausStraßen,,,,,Zusammensetzung aus 'Haus' + 'Straße'
HausBrücke,Substantiv,f,die,HausBrücken,,,,,Zusammensetzung aus 'Haus' + 'Brücke'
HausTunnel,Substantiv,m,der,HausTunnel,,,,,Zusammensetzung aus 'Haus' + 'Tunnel'
HausZentrum,Substantiv,n,das,HausZentren,,,,,Zusammensetzung aus 'Haus' + 'Zentrum'
HausHaus,Substantiv,n,das,HausHäuser,,,,,Zusammensetzung aus 'Haus' + 'Haus'
HausWerk,Substantiv,n,das,HausWerke,,,,,Zusammensetzung aus 'Haus' + 'Werk'
HausTicket,Substantiv,n,das,HausTickets,,,,,Zusammensetzung aus 'Haus' + 'Ticket'
HausStation,Substantiv,f,die,HausStationen,,,,,Zusammensetzung aus 'Haus' + 'Station'
HausLeitung,Substantiv,f,die,HausLeitungen,,,,,Zusammensetzung aus 'Haus' + 'Leitung'
HausLeiter,Substantiv,m,der,HausLeiter,,,,,Zusammensetzung aus 'Haus' + 'Leiter'
HausLeuchte,Substantiv,f,die,HausLeuchten,,,,,Zusammensetzung aus 'Haus' + 'Leuchte'
HausSchalter,Substantiv,m,der,HausSchalter,,,,,Zusammensetzung aus 'Haus' + 'Schalter'
HausSensor,Substantiv,m,der,HausSensoren,,,,,Zusammensetzung aus 'Haus' + 'Sensor'
HausAktuator,Substantiv,m,der,HausAktuatoren,,,,,Zusammensetzung aus 'Haus' + 'Aktuator'
AutoTür,Substantiv,f,die,AutoTüren,,,,,Zusammensetzung aus 'Auto' + 'Tür'
AutoDach,Substantiv,n,das,AutoDächer,,,,,Zusammensetzung aus 'Auto' + 'Dach'
AutoWand,Substantiv,f,die,AutoWände,,,,,Zusammensetzung aus 'Auto' + 'Wand'
AutoFenster,Substantiv,n,das,AutoFenster,,,,,Zusammensetzung aus 'Auto' + 'Fenster'
AutoBoden,Substantiv,m,der,AutoBöden,,,,,Zusammensetzung aus 'Auto' + 'Boden'
AutoPlan,Substantiv,m,der,AutoPläne,,,,,Zusammensetzung aus 'Auto' + 'Plan'
AutoListe,Substantiv,f,die,AutoListen,,,,,Zusammensetzung aus 'Auto' + 'Liste'
AutoBuch,Substantiv,n,das,AutoBücher,,,,,Zusammensetzung aus 'Auto' + 'Buch'
AutoSeite,Substantiv,f,die,AutoSeiten,,,,,Zusammensetzung aus 'Auto' + 'Seite'
AutoNummer,Substantiv,f,die,AutoNummern,,,,,Zusammensetzung aus 'Auto' + 'Nummer'
AutoFehler,Substantiv,m,der,AutoFehler,,,,,Zusammensetzung aus 'Auto' + 'Fehler'
AutoServer,Substantiv,m,der,AutoServer,,,,,Zusammensetzung aus 'Auto' + 'Server'
AutoClient,Substantiv,m,der,AutoClients,,,,,Zusammensetzung aus 'Auto' + 'Client'
AutoVertrag,Substantiv,m,der,AutoVerträge,,,,,Zusammensetzung aus 'Auto' + 'Vertrag'
AutoGesetz,Substantiv,n,das,AutoGesetze,,,,,Zusammensetzung aus 'Auto' + 'Gesetz'
AutoPrüfung,Substantiv,f,die,AutoPrüfungen,,,,,Zusammensetzung aus 'Auto' + 'Prüfung'
AutoReise,Substantiv,f,die,AutoReisen,,,,,Zusammensetzung aus 'Auto' + 'Reise'
AutoHafen,Substantiv,m,der,AutoHäfen,,,,,Zusammensetzung aus 'Auto' + 'Hafen'
